datetime,symbol,timeframe,direction,entry_price,stop_loss,take_profit,exit_price,result,pnl_r,duration_min,confidence,ob,fvg,sweep,vwap_up,structure_up,atr
2025-01-02 21:30:34,BTCUSDT,15m,BUY,21191.9,20727.7,22120.4,22120.4,WIN,1.916,302,95,True,True,True,False,True,309.5
2025-01-03 03:05:19,BTCUSDT,15m,SELL,28612.6,28803.4,28231.0,28231.0,WIN,2.079,62,63,False,False,True,False,False,127.2
2025-01-03 11:55:38,ETHUSDT,15m,SELL,31727.1,32247.0,30687.3,30687.3,WIN,2.039,310,68,False,False,False,True,False,346.6
2025-01-03 17:23:19,ETHUSDT,15m,BUY,53364.4,53265.4,53562.4,53562.4,WIN,1.899,122,55,True,True,True,True,True,66.0
2025-01-04 07:27:06,BTCUSDT,15m,BUY,32971.3,32576.5,33760.9,33760.9,WIN,2.08,132,91,True,False,True,True,False,263.2
2025-01-05 00:14:39,ETHUSDT,15m,SELL,56581.9,56867.5,56010.7,56010.7,WIN,1.988,86,83,True,False,False,False,True,190.4
2025-01-05 06:41:00,BTCUSDT,15m,SELL,21884.7,22352.0,20950.2,20950.2,WIN,1.883,420,83,True,False,False,False,True,311.5
2025-01-05 20:55:55,ETHUSDT,15m,BUY,41478.8,41201.8,42032.9,41201.8,LOSS,-1.07,19,34,False,False,True,False,False,184.7
2025-01-06 04:12:54,BTCUSDT,15m,BUY,31937.8,31624.6,32564.2,31624.6,LOSS,-0.958,24,33,False,False,True,True,True,208.8
2025-01-06 12:56:44,BTCUSDT,15m,BUY,53266.6,52908.4,53983.0,52908.4,LOSS,-1.058,35,66,False,False,True,True,True,238.8
2025-01-07 06:44:59,ETHUSDT,15m,BUY,26605.1,26485.1,26845.1,26485.1,LOSS,-0.992,32,80,False,True,False,False,True,80.0
2025-01-08 01:28:12,BTCUSDT,15m,BUY,33523.4,33074.2,34421.9,34421.9,WIN,2.026,316,51,True,False,False,False,True,299.5
2025-01-08 07:26:03,ETHUSDT,15m,BUY,28569.5,28123.0,29462.6,29462.6,WIN,1.89,139,55,True,True,True,True,True,297.7
2025-01-08 23:33:26,BTCUSDT,15m,SELL,49128.5,49303.4,48778.7,48778.7,WIN,2.09,142,32,True,False,False,True,False,116.6
2025-01-09 05:00:21,BTCUSDT,15m,SELL,46085.8,46234.5,45788.5,45788.5,WIN,2.012,62,90,True,False,False,True,False,99.1
2025-01-09 23:40:50,ETHUSDT,15m,BUY,51362.8,51200.5,51687.4,51687.4,WIN,1.987,371,69,False,True,False,True,True,108.2
2025-01-10 18:54:44,BTCUSDT,15m,SELL,39071.5,39227.8,38758.9,38758.9,WIN,2.126,44,27,True,False,False,True,False,104.2
2025-01-11 14:12:22,ETHUSDT,15m,BUY,43780.8,43258.8,44824.8,44824.8,WIN,2.036,351,92,True,True,False,True,False,348.0
2025-01-12 02:42:44,BTCUSDT,15m,SELL,57160.7,57726.3,56029.4,57726.3,LOSS,-0.869,63,58,True,False,True,True,False,377.1
2025-01-12 15:53:35,ETHUSDT,15m,BUY,37527.4,37414.0,37754.2,37754.2,WIN,2.013,328,67,True,True,False,False,False,75.6
2025-01-13 11:36:09,BTCUSDT,15m,BUY,26217.9,25792.2,27069.3,25792.2,LOSS,-1.065,48,33,False,False,True,False,True,283.8
2025-01-13 17:16:02,ETHUSDT,15m,SELL,50844.8,51185.2,50164.1,50164.1,WIN,2.041,97,25,True,False,True,False,False,226.9
2025-01-14 08:36:34,ETHUSDT,15m,SELL,25923.8,26293.2,25184.9,26293.2,LOSS,-1.112,51,67,True,False,False,True,True,246.3
2025-01-15 02:47:28,BTCUSDT,15m,BUY,49979.1,49432.2,51072.9,49432.2,LOSS,-0.872,25,72,True,True,True,False,False,364.6
2025-01-15 22:21:46,BTCUSDT,15m,BUY,51495.0,50957.2,52570.5,52570.5,WIN,1.882,454,51,True,False,True,False,False,358.5
2025-01-16 08:50:07,ETHUSDT,15m,BUY,31144.1,30640.4,32151.5,32151.5,WIN,1.871,194,44,False,True,False,True,True,335.8
2025-01-16 22:22:55,ETHUSDT,15m,SELL,30618.7,31050.4,29755.3,31050.4,LOSS,-1.117,49,94,False,True,True,False,True,287.8
2025-01-17 13:29:44,BTCUSDT,15m,SELL,57023.0,57327.1,56414.9,56414.9,WIN,2.012,201,75,False,True,False,True,True,202.7
2025-01-17 23:15:32,ETHUSDT,15m,SELL,31826.2,32228.4,31021.9,31021.9,WIN,1.888,355,61,False,True,False,True,False,268.1
2025-01-18 18:11:08,BTCUSDT,15m,BUY,32890.0,32491.9,33686.2,33686.2,WIN,1.983,276,94,True,False,True,True,True,265.4
2025-01-19 04:42:11,BTCUSDT,15m,BUY,28985.6,28564.7,29827.4,28564.7,LOSS,-1.09,10,50,True,False,False,True,False,280.6
2025-01-19 11:06:36,BTCUSDT,15m,SELL,29759.4,30155.2,28967.7,28967.7,WIN,2.047,472,69,False,False,False,False,False,263.9
2025-01-20 02:37:39,ETHUSDT,15m,BUY,52056.7,51573.1,53023.9,51573.1,LOSS,-0.95,61,35,True,False,False,True,True,322.4
2025-01-20 15:39:19,ETHUSDT,15m,SELL,31092.5,31603.5,30070.4,31603.5,LOSS,-0.917,85,51,False,False,False,True,True,340.7
2025-01-20 21:57:42,ETHUSDT,15m,SELL,26112.2,26227.9,25880.9,25880.9,WIN,1.914,223,49,True,True,True,True,True,77.1
2025-01-21 05:55:03,ETHUSDT,15m,SELL,20235.8,20529.0,19649.3,19649.3,WIN,1.956,451,93,True,False,False,False,False,195.5
2025-01-21 23:58:01,ETHUSDT,15m,SELL,33445.2,33802.8,32730.0,32730.0,WIN,2.054,385,82,False,False,False,True,True,238.4
2025-01-22 04:56:16,BTCUSDT,15m,SELL,25428.0,25985.7,24312.6,25985.7,LOSS,-1.011,38,30,False,False,False,False,False,371.8
2025-01-22 13:45:42,ETHUSDT,15m,BUY,49961.0,49647.3,50588.3,50588.3,WIN,1.866,129,30,True,False,True,False,True,209.1
2025-01-23 03:27:51,ETHUSDT,15m,BUY,28718.6,28247.6,29660.6,28247.6,LOSS,-0.94,26,34,False,True,True,True,True,314.0
2025-01-23 16:22:13,BTCUSDT,15m,BUY,48600.6,48117.3,49567.2,48117.3,LOSS,-1.127,18,68,True,True,False,False,True,322.2
2025-01-24 06:55:11,BTCUSDT,15m,SELL,22758.3,23279.7,21715.5,23279.7,LOSS,-0.956,58,74,False,True,False,False,True,347.6
2025-01-24 23:43:18,ETHUSDT,15m,BUY,30803.3,30500.8,31408.4,30500.8,LOSS,-0.908,64,86,True,False,False,True,True,201.7
2025-01-25 09:33:44,ETHUSDT,15m,SELL,35159.6,35403.8,34671.2,34671.2,WIN,1.859,108,92,True,False,True,True,False,162.8
2025-01-25 20:20:17,BTCUSDT,15m,SELL,48803.0,49296.8,47815.4,47815.4,WIN,1.997,368,44,True,False,False,True,True,329.2
2025-01-26 06:54:28,ETHUSDT,15m,SELL,41236.9,41547.2,40616.2,41547.2,LOSS,-1.022,50,67,True,True,False,True,False,206.9
2025-01-26 21:33:33,ETHUSDT,15m,SELL,49544.2,49780.1,49072.3,49072.3,WIN,1.933,66,43,True,False,True,False,False,157.3
2025-01-27 14:32:47,ETHUSDT,15m,SELL,57763.6,57958.0,57374.8,57374.8,WIN,2.041,67,90,True,True,False,True,False,129.6
2025-01-28 08:15:19,BTCUSDT,15m,SELL,22963.3,23284.8,22320.4,22320.4,WIN,2.039,92,28,True,True,True,False,True,214.3
2025-01-28 12:56:27,ETHUSDT,15m,SELL,56340.2,56459.9,56100.8,56100.8,WIN,1.939,171,86,True,False,False,False,False,79.8
2025-01-29 01:10:35,ETHUSDT,15m,BUY,42079.7,41684.6,42869.9,42869.9,WIN,1.897,245,40,False,False,True,True,False,263.4
2025-01-29 15:35:06,BTCUSDT,15m,SELL,45002.3,45230.2,44546.6,45230.2,LOSS,-0.952,59,53,True,False,False,True,False,151.9
